"Job.Titles","Department","Annual.Salary"
"LIEUTENANT","FIRE",127410
"SERGEANT","POLICE",126504
"FIREFIGHTER-EMT","FIRE",102372
"FIREFIGHTER-EMT","FIRE",102372
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",95586
"ARCHITECT IV","HOUSING & ECON DEV",122112
"POLICE OFFICER","POLICE",102372
"SERGEANT","POLICE",118836
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",103578
"PARAMEDIC","FIRE",84612
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",95586
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",78024
"POLICE OFFICER","POLICE",78024
"LIEUTENANT","POLICE",146652
"LIEUTENANT-EMT","FIRE",135144
"FIELD SANITATION INVESTIGATOR","STREETS & SAN",93624
"FIREFIGHTER/PARAMEDIC","FIRE",101262
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",107490
"POLICE OFFICER","POLICE",102372
"SERGEANT","POLICE",126504
"SUPVSR OF AUDITING","FINANCE",123540
"POLICE OFFICER","POLICE",102372
"FIREFIGHTER-EMT","FIRE",98904
"LIEUTENANT-EMT","FIRE",135144
"SENIOR CITY FORESTER","STREETS & SAN",102516
"HEAD LIBRARY CLERK","PUBLIC LIBRARY",77772
"POLICE OFFICER","POLICE",106170
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",78024
"POLICE OFFICER","POLICE",54672
"LIEUTENANT","POLICE",146652
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"POLICE OFFICER","POLICE",106170
"PARALEGAL II","LAW",59184
"FIRE ENGINEER-EMT","FIRE",110766
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"FIRE ENGINEER-EMT","FIRE",114654
"COMMUNICATIONS OPERATOR I - 311","OEMC",67668
"POLICE OFFICER","POLICE",102372
"FIREFIGHTER (PER ARBITRATORS AWARD)-EMT","FIRE",114654
"LIEUTENANT","POLICE",146652
"SAFETY SPECIALIST - WATER MGMT","WATER MGMNT",93624
"FIREFIGHTER-EMT","FIRE",102372
"POLICE OFFICER","POLICE",102372
"FIREFIGHTER-EMT","FIRE",94152
"PROCESS SERVER","LAW",55620
"POLICE OFFICER","POLICE",95586
"ACCOUNTANT","PUBLIC SAFETY ADMIN",77772
"FIELD SANITATION INVESTIGATOR","STREETS & SAN",102696
"POLICE OFFICER","POLICE",102372
"SERGEANT","POLICE",130596
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",102372
"LIEUTENANT-EMT","FIRE",126840
"FIRE COMMUNICATIONS OPERATOR I","OEMC",75816
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"LIEUTENANT","POLICE",142380
"PARAMEDIC","FIRE",93252
"FIREFIGHTER (PER ARBITRATORS AWARD)-EMT","FIRE",114654
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)","POLICE",111492
"FIREFIGHTER/PARAMEDIC","FIRE",101262
"PROJECT COORD","HUMAN RESOURCES",73332
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"NURSE PRACTITIONER","PUBLIC SAFETY ADMIN",118512
"FIRE ENGINEER-EMT","FIRE",114654
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",90990
"FIREFIGHTER","FIRE",99876
"FIREFIGHTER","FIRE",99876
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"POLICE COMMUNICATIONS OPERATOR II","OEMC",103524
"LIBRARY CLERK","PUBLIC LIBRARY",35532
"CERTIFICATION - COMPLIANCE OFFICER","PROCUREMENT",102516
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"PARAMEDIC FIELD CHIEF","FIRE",156396
"POLICE OFFICER","POLICE",102372
"COMMANDER","POLICE",175944
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",107490
"FIREFIGHTER-EMT","FIRE",110196
"DETENTION AIDE","POLICE",82104
"SERGEANT","POLICE",130596
"POLICE OFFICER","POLICE",109236
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",95586
"STAFF ASST TO THE ALDERMAN","CITY COUNCIL",49440
"ADMINISTRATIVE ASST II","PUBLIC SAFETY ADMIN",53088
"POLICE COMMUNICATIONS OPERATOR II","OEMC",78384
"POLICE OFFICER","POLICE",86730
"ADMINISTRATIVE ASST II","ADMIN HEARNG",61632
"LEGISLATIVE AIDE","CITY COUNCIL",33744
"POLICE OFFICER","POLICE",95586
"SR RECOVERY TEAM PROGRAM MGR","HEALTH",123864
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",90990
"LIBRARIAN IV","PUBLIC LIBRARY",111816
"POLICE OFFICER","POLICE",95586
"POLICE COMMUNICATIONS OPERATOR II","OEMC",58560
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",90990
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",102372
"FIREFIGHTER/PARAMEDIC","FIRE",101262
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",109236
"FIREFIGHTER-EMT","FIRE",98904
"PROJECTS ADMINISTRATOR","FINANCE",99504
"PARAMEDIC I/C","FIRE",104430
"LIEUTENANT","POLICE",146652
"SERGEANT","POLICE",122568
"POLICE OFFICER","POLICE",106170
"SERGEANT","POLICE",122568
"SERGEANT","POLICE",122568
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"LIBRARIAN II","PUBLIC LIBRARY",93780
"FIREFIGHTER-EMT","FIRE",98904
"SUPVSR OF PUBLIC VEHICLE INSPECTORS","BUSINESS AFFAIRS",66972
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",103866
"FIREFIGHTER-EMT","FIRE",94152
"HEAD LIBRARY CLERK","PUBLIC LIBRARY",50688
"ADMINISTRATIVE ASST II","AVIATION",48420
"POLICE OFFICER","POLICE",54672
"SERGEANT","POLICE",122568
"LIEUTENANT-EMT","FIRE",135144
"FIREFIGHTER-EMT","FIRE",102372
"PARAMEDIC I/C","FIRE",104430
"DIR OF INVESTIGATIONS - COPA","COPA",137832
"LIBRARIAN III","PUBLIC LIBRARY",102516
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",95586
"STAFF ASST TO THE ALDERMAN","CITY COUNCIL",82548
"LIBRARY CLERK","PUBLIC LIBRARY",40164
"FIREFIGHTER-EMT (RECRUIT)","FIRE",76122
"ADMINISTRATIVE ASST II","BUILDINGS",55620
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",109236
"ATTORNEY","HEALTH",97080
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"ACCIDENT ADJUSTER","DAIS",73488
"PROGRAM DIR","BUSINESS AFFAIRS",125088
"POLICE OFFICER","POLICE",102372
"CENTRAL VOUCHER COORDINATOR","FINANCE",70860
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",107028
"LIBRARIAN II","PUBLIC LIBRARY",80172
"LIEUTENANT","POLICE",142296
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",106170
"MANAGER - AVIATION ID BADGING OPERATIONS","AVIATION",69984
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",90990
"COMMUNICABLE DISEASE CONTROL INVESTIGATOR II","HEALTH",53952
"POLICE OFFICER","POLICE",90990
"CONTRACTS COORD","CULTURAL AFFAIRS",107700
"ADMINISTRATIVE ASST II","WATER MGMNT",77772
"POLICE OFFICER","POLICE",109236
"FIRE ENGINEER-EMT","FIRE",110766
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"POLICE OFFICER","POLICE",95586
"CLERK III","POLICE",61632
"FIREFIGHTER-EMT","FIRE",98904
"CLERK - BD OF ELECTIONS","BOARD OF ELECTION",33180
"PROGRAM AUDITOR II","HOUSING",59184
"POLICE COMMUNICATIONS OPERATOR I","OEMC",86016
"FIREFIGHTER-EMT","FIRE",102372
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",111492
"POLICE COMMUNICATIONS OPERATOR II","OEMC",64272
"POLICE OFFICER","POLICE",95586
"DETENTION AIDE","POLICE",68196
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"AVIATION SECURITY SERGEANT","AVIATION",74664
"REPROGRAPHICS TECHNICIAN III","PROCUREMENT",77772
"POLICE OFFICER","POLICE",109236
"PARAMEDIC I/C","FIRE",87408
"FIREFIGHTER-EMT","FIRE",105936
"PROGRAM DIR","HEALTH",114012
"SERGEANT","POLICE",118836
"POLICE OFFICER","POLICE",109236
"PHOTOGRAPHIC SPECIALIST-PUBLIC SAFETY","POLICE",60876
"ASST DIR","FINANCE",112128
"EQUIPMENT TRAINING SPECIALIST / MTD","AVIATION",86340
"COORDINATING PLANNER","TRANSPORTN",104580
"POLICE OFFICER","POLICE",54672
"FIELD SERVICE SPECIALIST II","TRANSPORTN",73464
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",106170
"FIREFIGHTER-EMT","FIRE",105936
"CAPTAIN-PARAMEDIC","FIRE",155358
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",54672
"FIELD ANALYST","PROCUREMENT",70152
"PARKING ENFORCEMENT AIDE","FINANCE",42312
"POLICE OFFICER","POLICE",95586
"BUILDING/CONSTRUCTION INSPECTOR","BUILDINGS",97032
"FIREFIGHTER-EMT","FIRE",110196
"POLICE OFFICER","POLICE",95586
"MAJOR CASE SPECIALIST-COPA","COPA",115752
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",98940
"SOCIAL WORKER III","FAMILY & SUPPORT",102516
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER (ASGND AS MOUNTED PATROL OFFICER)","POLICE",100398
"POLICE OFFICER","POLICE",95586
"SERGEANT","POLICE",118836
"DIR OF ADMINISTRATION I","TRANSPORTN",69984
"PLUMBING INSPECTOR","BUILDINGS",114138
"SENIOR PROGRAMMER/ANALYST","HEALTH",85764
"LIBRARY ASSOCIATE","PUBLIC LIBRARY",77112
"ELECTION EQUIPMENT & SUPPLY SPEC II","BOARD OF ELECTION",44604
"POLICE OFFICER","POLICE",102372
"FIREFIGHTER-EMT","FIRE",102372
"POLICE OFFICER","POLICE",109236
"FIREFIGHTER-EMT","FIRE",105936
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"SUPVSR OF ACCOUNTING","FAMILY & SUPPORT",115992
"PUBLIC HEALTH ADMINISTRATOR II","HEALTH",64992
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"FIRE MARSHAL-EMT","FIRE",98904
"CONTRACTS REVIEW SPECIALIST II","FINANCE",98016
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",54672
"LIEUTENANT-PARAMEDIC","FIRE",134028
"ENGINEERING TECHNICIAN V","WATER MGMNT",112716
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",109236
"SERGEANT","POLICE",130596
"SERGEANT","POLICE",126504
"DIR OF INFORMATION SYSTEMS","BUILDINGS",119028
"POLICE OFFICER","POLICE",86730
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",109236
"DIR OF INFORMATION SYSTEMS","PROCUREMENT",113244
"FIREFIGHTER","FIRE",99876
"ASST CORPORATION COUNSEL SUPVSR","LAW",101628
"POLICE OFFICER","POLICE",90990
"CHIEF LANDSCAPE PLAN EXAMINER","HOUSING & ECON DEV",102576
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",109236
"FIRE ENGINEER-EMT","FIRE",114654
"POLICE OFFICER","POLICE",82458
"SENIOR DATA BASE ANALYST","DAIS",122112
"EXECUTIVE SECRETARY II","AVIATION",85344
"POLICE OFFICER","POLICE",106170
"ELDER PROTECTIVE INVESTIGATOR I","FAMILY & SUPPORT",69180
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"CAPTAIN","POLICE",159516
"DEPUTY COMMISSIONER","HUMAN RESOURCES",132480
"FIREFIGHTER-EMT","FIRE",102372
"FIREFIGHTER-EMT","FIRE",102372
"POLICE ADMINISTRATIVE CLERK","POLICE",53088
"REFUSE COLLECTION COORD","STREETS & SAN",85308
"DATA SERVICES ADMINISTRATOR","PROCUREMENT",102732
"AVIATION SECURITY SERGEANT","AVIATION",68028
"POLICE OFFICER","POLICE",98940
"ADMINISTRATIVE ASST II","FAMILY & SUPPORT",77772
"PROPERTY CUSTODIAN - AUTO POUND","STREETS & SAN",53088
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",103578
"FIRE ENGINEER-EMT","FIRE",110766
"FIRE ENGINEER","FIRE",115308
"POLICE OFFICER","POLICE",102372
"ELECTRICAL INSPECTOR","BUILDINGS",110160
"ASST DISTRICT MANAGER-HUMAN SERVICES","FAMILY & SUPPORT",86328
"AIRPORT FACILITIES MANAGER","AVIATION",89532
"FOREMAN OF TRAFFIC SIGNAL REPAIRMEN","TRANSPORTN",129063.96
"BRIDGE OPERATOR","TRANSPORTN",64596
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",102372
"RECOVERY TEAM PROGRAM MGR","MAYOR'S OFFICE",100956
"LIBRARIAN II","PUBLIC LIBRARY",93780
"POLICE OFFICER","POLICE",102372
"FIRE ENGINEER","FIRE",115308
"PARAMEDIC I/C","FIRE",101052
"COORDINATING PLANNER II","TRANSPORTN",119436
"POLICE OFFICER","POLICE",95586
"SUPERVISING BRIDGE OPERATOR","TRANSPORTN",93624
"POLICE OFFICER","POLICE",90990
"CRIMINAL INTELLIGENCE ANALYST","POLICE",97080
"CHIEF","POLICE",200472
"AVIATION SECURITY OFFICER","AVIATION",55932
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",103578
"STAFF ASST","PUBLIC SAFETY ADMIN",93660
"SERGEANT","POLICE",122568
"SERGEANT","POLICE",122568
"POLICE COMMUNICATIONS OPERATOR II","OEMC",86016
"LIEUTENANT-EMT","FIRE",126840
"PROJECTS ADMINISTRATOR","AVIATION",92844
"LIBRARY CLERK","PUBLIC LIBRARY",36636
"POLICE COMMUNICATIONS OPERATOR II","OEMC",103524
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",102372
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"ADMINISTRATIVE ASST III","AVIATION",85344
"POLICE OFFICER","POLICE",106170
"ASSISTANT DIRECTOR OF FINANCE","WATER MGMNT",115512
"SERGEANT","POLICE",130596
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"ADMINISTRATIVE ASST TO DEPUTY CORPORATION COUNSEL","LAW",103920
"POLICE OFFICER","POLICE",106170
"SANITATION CLERK","STREETS & SAN",77736
"FIRE ENGINEER-EMT","FIRE",110766
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"DIR OF INFORMATION SYSTEMS","HEALTH",105828
"PARAMEDIC I/C (ASSIGNED AS TRAINING INSTRUCTOR)","FIRE",119580
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",109236
"WARD SUPERINTENDENT","STREETS & SAN",98220
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER/PARAMEDIC","FIRE",101262
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",102372
"DETENTION AIDE","POLICE",55932
"DIRECTOR - MAYOR'S OFFICE","MAYOR'S OFFICE",129780
"POLICE OFFICER","POLICE",90990
"SERGEANT","POLICE",122568
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"DEPUTY DIR","POLICE",135456
"POLICE OFFICER","POLICE",102372
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",95586
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",90990
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",102372
"PARAMEDIC I/C","FIRE",101052
"FIRE ENGINEER-EMT","FIRE",114654
"POLICE OFFICER","POLICE",95586
"CHIEF VOUCHER EXPEDITER","HEALTH",98016
"IT SECURITY ANALYST - IG","INSPECTOR GEN",81552
"MANAGER OF 311 OPERATIONS","OEMC",131064
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",107028
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"LIEUTENANT","POLICE",146652
"POLICE OFFICER","POLICE",95586
"TRAFFIC SIGNAL REPAIRMAN","TRANSPORTN",117624
"COMMUNICABLE DISEASE CONTROL INVESTIGATOR II","HEALTH",66984
"SENIOR DATA BASE ANALYST","FAMILY & SUPPORT",122112
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"PARAMEDIC FIELD CHIEF","FIRE",156396
"ACCOUNTANT","POLICE",98016
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC","FIRE",117384
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",102372
"STAFF ASST","AVIATION",93660
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"CAPTAIN-EMT","FIRE",151764
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"FIREFIGHTER-EMT (RECRUIT)","FIRE",76122
"FIREFIGHTER/PARAMEDIC","FIRE",101262
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"SANITARIAN II","HEALTH",102732
"POLICE OFFICER","POLICE",95586
"COMMUNICABLE DISEASE CONTROL INVESTIGATOR II","HEALTH",53952
"FIREFIGHTER-EMT (RECRUIT)","FIRE",76122
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",98940
"WATER RATE TAKER","WATER MGMNT",61008
"POLICE OFFICER","POLICE",90990
"ANIMAL CARE CLERK","ANIMAL CONTRL",46188
"POLICE OFFICER","POLICE",95586
"ADMINISTRATIVE ASST II","BUSINESS AFFAIRS",70860
"FIRE ENGINEER-EMT","FIRE",114654
"POLICE COMMUNICATIONS OPERATOR II","OEMC",64272
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",98940
"PARAMEDIC","FIRE",93252
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"POLICE OFFICER","POLICE",95586
"ANIMAL CONTROL OFFICER","ANIMAL CONTRL",44292
"FINANCE OFFICER","HEALTH",88416
"POLICE OFFICER","POLICE",102372
"DIR OF ACCOUNTING","FINANCE",129144
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"SERGEANT","POLICE",126504
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",100398
"POLICE OFFICER","POLICE",54672
"ATTORNEY - EXCLUDED","PROCUREMENT",112128
"COORD OF AIR MASK SERVICES","FIRE",177228
"FIREFIGHTER-EMT","FIRE",94152
"POLICE OFFICER","POLICE",82458
"PARAMEDIC I/C","FIRE",104430
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)","POLICE",111492
"LIEUTENANT-EMT","FIRE",130908
"INQUIRY AIDE III","HUMAN RESOURCES",61632
"POLICE OFFICER","POLICE",109236
"FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC","FIRE",117384
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"CAPTAIN","POLICE",159516
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER (ASSIGNED AS SECURITY SPECIALIST)","POLICE",130596
"SUPVSR OF ANIMAL CONTROL OFFICERS","ANIMAL CONTRL",103524
"POLICE OFFICER","POLICE",90990
"FIREFIGHTER-EMT","FIRE",98904
"PARAMEDIC","FIRE",88770
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)","POLICE",111492
"PROJECT MGR - MAYOR'S OFFICE","MAYOR'S OFFICE",92700
"SERGEANT","POLICE",122568
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",100398
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)","POLICE",111492
"SERGEANT","POLICE",122568
"POLICE OFFICER","POLICE",106170
"FIREFIGHTER-EMT (RECRUIT)","FIRE",62466
"AVIATION SECURITY OFFICER","AVIATION",61308
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER/EXPLSV DETECT K9 HNDLR","POLICE",111492
"POLICE OFFICER","POLICE",90990
"LIBRARIAN II","PUBLIC LIBRARY",69180
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",102372
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",98940
"GENERAL FOREMAN OF LINEMEN","PUBLIC SAFETY ADMIN",137384.04
"SANITARIAN II","HEALTH",102732
"RECRUITER","HUMAN RESOURCES",122112
"AMBULANCE COMMANDER","FIRE",134736
"ADMINISTRATIVE ASST TO DEPUTY CORPORATION COUNSEL","LAW",86328
"FIRE ENGINEER-EMT","FIRE",114654
"BATTALION CHIEF - EMT","FIRE",165858
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER (ASSIGNED AS TRAFFIC SPECIALIST)","POLICE",114822
"POLICE OFFICER","POLICE",90990
"PARAMEDIC","FIRE",76122
"ACCOUNTANT","FINANCE",102732
"COMMANDER","POLICE",175944
"LIEUTENANT-EMT","FIRE",135144
"POLICE OFFICER(ASGND AS LATENT PRINT EX)","POLICE",111492
"SUPERVISING POLICE COMMUNICATIONS OPERATOR","OEMC",109872
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",106170
"SERGEANT","POLICE",130596
"POLICE OFFICER","POLICE",95586
"CAPTAIN","FIRE",138828
"SUPVSR OF VOUCHER AUDITING","FINANCE",69984
"POLICE COMMUNICATIONS OPERATOR II","OEMC",103524
"ANIMAL CARE AIDE I","ANIMAL CONTRL",70860
"CERTIFIED MEDICAL ASST","HEALTH",67668
"FIREFIGHTER-EMT","FIRE",105936
"POLICE OFFICER","POLICE",109236
"DATA ENTRY OPERATOR","STREETS & SAN",56172
"SERGEANT","POLICE",118836
"FIREFIGHTER","FIRE",103914
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"FIRE ENGINEER-EMT","FIRE",110766
"POLICE OFFICER","POLICE",102372
"MANAGER OF BUILDINGS SERVICES","DAIS",103920
"DETENTION AIDE","POLICE",78384
"SERGEANT","POLICE",122568
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",95586
"AVIATION SECURITY SERGEANT","AVIATION",74664
"FIREFIGHTER-EMT","FIRE",98904
"SERGEANT","POLICE",122568
"POLICE OFFICER","POLICE",78024
"FIREFIGHTER-EMT","FIRE",98904
"CLERK - BD OF ELECTIONS","BOARD OF ELECTION",41424
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"SERGEANT","POLICE",126504
"FIREFIGHTER-EMT","FIRE",110196
"EQUIPMENT TRAINING SPECIALIST / MTD","AVIATION",86340
"SUPVSR OF AUDITING","FINANCE",129144
"RESEARCH AND POLICY ANALYST - CPD","POLICE",89076
"DETENTION AIDE","POLICE",86016
"FIREFIGHTER-EMT","FIRE",102372
"ASST CNCL COMM SEC","CITY COUNCIL",77292
"POLICE OFFICER","POLICE",109236
"SERGEANT","POLICE",126504
"FIREFIGHTER","FIRE",108036
"PROJECT MANAGER","AVIATION",106668
"PARAMEDIC","FIRE",93252
"LIEUTENANT","POLICE",146652
"LIBRARIAN I","PUBLIC LIBRARY",84936
"PARAMEDIC I/C","FIRE",101052
"PARAMEDIC","FIRE",93252
"DEPUTY CHIEF","POLICE",183984
"DATA SERVICES ADMINISTRATOR","STREETS & SAN",118104
"POLICE OFFICER","POLICE",102372
"FIRE ENGINEER-PARAMEDIC","FIRE",121656
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"FIREFIGHTER-EMT (RECRUIT)","FIRE",62466
"EXECUTIVE DIR OF ANIMAL CARE AND CONTROL","ANIMAL CONTRL",149700
"POLICE OFFICER","POLICE",102372
